Autor;nDCG@10;nDCG@20;Precision@5;Precision@10;Precision@20;Recall@5;Recall@10;Recall@20;MAP@10;Coverage@10;Diversity@10;MAP@20;Coverage@20;Diversity@20;Match_Valido@10;Match_Valido@20;Modelo
ID_8821536792042504;0.0342;0.0331;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0769;0.7244;1;1;0.0000;0.2051;0.7257;Qwen 2.5-1.5B
ID_4336175279058172;0.5104;0.4055;0.4000;0.7000;0.4000;0.0714;0.2500;0.2857;0.1326;0.3241;0.4925;8;9;0.1546;0.3483;0.4241;Qwen 2.5-1.5B
ID_7088639503480810;0.7412;0.5658;1.0000;0.8000;0.5500;0.1562;0.2500;0.3438;0.2465;0.3750;0.5000;8;11;0.3086;0.3750;0.3448;Qwen 2.5-1.5B
ID_0766190838110725;0.1342;0.1279;0.0000;0.2000;0.1000;0.0000;0.1818;0.1818;0.0333;0.2977;0.6748;3;4;0.0333;0.4000;0.6936;Qwen 2.5-1.5B
ID_5588600593216123;0.3080;0.2493;0.2000;0.2000;0.1000;0.0476;0.0952;0.0952;0.0635;0.2295;0.6339;3;3;0.0635;0.3005;0.6662;Qwen 2.5-1.5B
ID_6822739927690907;0.3456;0.3043;0.2000;0.3000;0.2000;0.0500;0.1500;0.2000;0.0817;0.6087;0.6095;4;5;0.0998;0.6739;0.5812;Qwen 2.5-1.5B
ID_4792955482152100;0.0298;0.1051;0.0000;0.1000;0.1500;0.0000;0.0263;0.0789;0.0033;0.3939;0.7009;1;3;0.0130;0.4303;0.6615;Qwen 2.5-1.5B
ID_7817033448036400;0.1737;0.1655;0.2000;0.2000;0.1500;0.0455;0.0909;0.1364;0.0242;0.5000;0.6673;2;4;0.0333;0.5147;0.6993;Qwen 2.5-1.5B
ID_8133660776746187;0.1832;0.4531;0.2000;0.1000;0.2000;0.2000;0.2000;0.8000;0.2000;0.6265;0.5950;1;4;0.3296;0.6506;0.6340;Qwen 2.5-1.5B
ID_8976306450816308;0.1039;0.1885;0.4000;0.2000;0.2500;0.0909;0.0909;0.2273;0.0455;0.0850;0.7661;2;5;0.0755;0.1111;0.7218;Qwen 2.5-1.5B
ID_3667257393072255;0.5174;0.6103;0.6000;0.4000;0.4000;0.2308;0.3077;0.6154;0.2423;0.4565;0.6414;4;8;0.3658;0.4783;0.6612;Qwen 2.5-1.5B
ID_7417258240533689;0.3994;0.3571;0.6000;0.5000;0.3500;0.1111;0.1852;0.2593;0.1351;0.5085;0.6717;5;7;0.1598;0.5254;0.6843;Qwen 2.5-1.5B
ID_4027612512091565;0.6715;0.6191;0.6000;0.4000;0.2000;0.5000;0.6667;0.6667;0.4519;0.2609;0.6543;6;7;0.4519;0.3333;0.6887;Qwen 2.5-1.5B
ID_5577871519448957;0.0527;0.0731;0.0000;0.1000;0.0500;0.0000;0.1250;0.1250;0.0179;0.4400;0.6182;1;3;0.0179;0.5200;0.5787;Qwen 2.5-1.5B
ID_3174964298120701;0.3052;0.3204;0.4000;0.2000;0.2000;0.1333;0.1333;0.2667;0.0933;0.3493;0.6013;2;4;0.1244;0.3886;0.6518;Qwen 2.5-1.5B
ID_1508456345535914;0.3983;0.3940;0.4000;0.3000;0.3000;0.0833;0.1250;0.2500;0.0750;0.7583;0.6098;4;8;0.1187;0.7750;0.6051;Qwen 2.5-1.5B
ID_1606080164385644;0.4029;0.3339;0.8000;0.6000;0.4000;0.0976;0.1463;0.1951;0.1100;0.6706;0.6324;6;8;0.1372;0.7176;0.6254;Qwen 2.5-1.5B
