Autor;nDCG@10;nDCG@20;Precision@5;Precision@10;Precision@20;Recall@5;Recall@10;Recall@20;MAP@10;Coverage@10;Diversity@10;MAP@20;Coverage@20;Diversity@20;Match_Valido@10;Match_Valido@20;Modelo
ID_0144465590218939;0.2863;0.2283;0.4000;0.3000;0.1500;0.1000;0.1500;0.1500;0.0714;0.2545;0.1966;0.0714;0.2545;0.1966;3;3;Qwen3.5-4B-QLoRA
ID_0170762259145267;0.5010;0.5429;0.4000;0.4000;0.5000;0.0465;0.0930;0.2326;0.0674;0.1863;0.4439;0.1413;0.2157;0.6253;4;10;Qwen3.5-4B-QLoRA
ID_0174325304693036;0.4853;0.3750;0.6000;0.6000;0.4000;0.0625;0.1250;0.1667;0.0967;0.1845;0.2010;0.1238;0.1845;0.1672;6;8;Qwen3.5-4B-QLoRA
ID_0228970585981305;0.0135;0.0110;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1087;0.3860;0.0000;0.1087;0.3860;1;1;Qwen3.5-4B-QLoRA
ID_0229339143607870;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0588;0.1262;0.0000;0.0588;0.1220;0;0;Qwen3.5-4B-QLoRA
ID_0277415539607307;0.4856;0.4126;0.8000;0.5000;0.4000;0.1212;0.1515;0.2424;0.1227;0.2375;0.4445;0.1756;0.2730;0.6226;5;9;Qwen3.5-4B-QLoRA
ID_0291695624884565;0.3590;0.3377;0.4000;0.2000;0.2500;0.0408;0.0408;0.1020;0.0408;0.1249;0.5424;0.0563;0.1538;0.6312;2;5;Qwen3.5-4B-QLoRA
ID_0306964533388350;0.0000;0.1115;0.0000;0.0000;0.1500;0.0000;0.0000;0.1500;0.0000;0.1111;0.4317;0.0165;0.2667;0.6631;0;6;Qwen3.5-4B-QLoRA
ID_0321740024191482;0.4917;0.4840;0.6000;0.5000;0.4000;0.0968;0.1613;0.2581;0.1192;0.2432;0.6497;0.1728;0.2918;0.6759;5;8;Qwen3.5-4B-QLoRA
ID_0353944603330456;0.2201;0.1420;0.2000;0.1000;0.0500;0.0172;0.0172;0.0172;0.0172;0.5719;0.0876;0.0172;0.5719;0.0876;1;1;Qwen3.5-4B-QLoRA
ID_0422858064703713;0.4928;0.3180;0.2000;0.5000;0.2500;0.0286;0.1429;0.1429;0.0744;0.2411;0.5443;0.0744;0.2411;0.6844;5;5;Qwen3.5-4B-QLoRA
ID_0433763336350310;0.6489;0.4188;1.0000;0.5000;0.2500;0.1724;0.1724;0.1724;0.1724;0.1234;0.1309;0.1724;0.1234;0.1309;5;5;Qwen3.5-4B-QLoRA
ID_0521334155968808;0.2201;0.1645;0.2000;0.1000;0.0500;0.0417;0.0417;0.0417;0.0417;0.1250;0.2240;0.0417;0.1250;0.2062;1;1;Qwen3.5-4B-QLoRA
ID_0535860239259102;0.3731;0.4192;0.8000;0.5000;0.4000;0.1739;0.2174;0.3478;0.1894;0.2804;0.6080;0.2512;0.3271;0.6552;6;9;Qwen3.5-4B-QLoRA
ID_0544144585124313;0.4808;0.3103;0.8000;0.5000;0.2500;0.0889;0.1111;0.1111;0.0900;0.5633;0.6417;0.0900;0.5673;0.6484;5;5;Qwen3.5-4B-QLoRA
ID_0577007377836185;0.2912;0.3659;0.4000;0.4000;0.4500;0.0526;0.1053;0.2368;0.0442;0.2128;0.7616;0.1037;0.2979;0.7225;4;9;Qwen3.5-4B-QLoRA
ID_0588546982625730;0.8669;0.6693;1.0000;0.8000;0.5500;0.1190;0.1905;0.2619;0.1878;0.3618;0.4532;0.2394;0.4729;0.6034;8;11;Qwen3.5-4B-QLoRA
ID_0654596992211296;0.1389;0.0896;0.2000;0.1000;0.0500;0.0345;0.0345;0.0345;0.0172;0.1229;0.5510;0.0172;0.1229;0.4567;1;1;Qwen3.5-4B-QLoRA
ID_0848413770343284;0.3590;0.2317;0.4000;0.2000;0.1000;0.0870;0.0870;0.0870;0.0870;0.0622;0.1597;0.0870;0.0622;0.1597;2;2;Qwen3.5-4B-QLoRA
ID_0915732258069388;0.4290;0.5156;0.4000;0.4000;0.4000;0.1053;0.2105;0.4211;0.1579;0.0784;0.6517;0.2429;0.2182;0.6552;4;8;Qwen3.5-4B-QLoRA
ID_0932673194762377;0.1389;0.0896;0.2000;0.1000;0.0500;0.0200;0.0200;0.0200;0.0100;0.0564;0.1774;0.0100;0.0564;0.1898;1;1;Qwen3.5-4B-QLoRA
ID_0967035318418472;0.4843;0.4681;0.6000;0.4000;0.4500;0.0682;0.0909;0.2045;0.0705;0.0802;0.6815;0.1213;0.1770;0.7046;5;10;Qwen3.5-4B-QLoRA
ID_0990344839864230;0.4028;0.5684;0.4000;0.3000;0.4000;0.1429;0.2143;0.5714;0.1286;0.1290;0.6057;0.2783;0.2796;0.6257;4;9;Qwen3.5-4B-QLoRA
ID_1041565102315246;0.1055;0.2989;0.2000;0.1000;0.4000;0.0370;0.0370;0.2963;0.0370;0.1576;0.5464;0.1200;0.5242;0.4992;2;9;Qwen3.5-4B-QLoRA
ID_1050516524103988;0.4972;0.4222;0.4000;0.5000;0.3000;0.0909;0.2273;0.2727;0.1343;0.4390;0.4328;0.1571;0.4488;0.5203;6;8;Qwen3.5-4B-QLoRA
ID_1066462335621573;0.1100;0.1394;0.2000;0.1000;0.1500;0.0286;0.0286;0.0857;0.0095;0.2719;0.7010;0.0178;0.5263;0.5734;1;3;Qwen3.5-4B-QLoRA
ID_1122362218673413;0.3933;0.2538;0.4000;0.3000;0.1500;0.0526;0.0789;0.0789;0.0526;0.3731;0.0986;0.0526;0.3731;0.1100;3;3;Qwen3.5-4B-QLoRA
ID_1138639549823932;0.5380;0.4707;0.4000;0.5000;0.5000;0.0500;0.1250;0.2500;0.0893;0.3804;0.7126;0.1585;0.4457;0.6745;5;10;Qwen3.5-4B-QLoRA
ID_1177407730126204;0.2313;0.1773;0.2000;0.1000;0.0500;0.0333;0.0333;0.0333;0.0333;0.2883;0.5855;0.0333;0.2883;0.5855;2;2;Qwen3.5-4B-QLoRA
ID_1218389465274602;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0120;0.4550;0.0000;0.0120;0.3912;0;0;Qwen3.5-4B-QLoRA
ID_1224532648969159;0.5046;0.3959;0.8000;0.6000;0.4000;0.1053;0.1579;0.2105;0.1019;0.5898;0.6204;0.1273;0.6319;0.6380;6;8;Qwen3.5-4B-QLoRA
ID_1234565160573730;0.6304;0.5740;0.6000;0.4000;0.2000;0.2500;0.3333;0.3333;0.2847;0.4830;0.7554;0.2847;0.6136;0.7522;4;6;Qwen3.5-4B-QLoRA
ID_1272997735344283;0.1737;0.1665;0.2000;0.1000;0.0500;0.0909;0.0909;0.0909;0.0455;0.1385;0.1346;0.0455;0.1385;0.1346;1;1;Qwen3.5-4B-QLoRA
ID_1290711673273506;0.1691;0.1426;0.0000;0.3000;0.1500;0.0000;0.1304;0.1304;0.0281;0.1799;0.5487;0.0281;0.2011;0.4973;3;4;Qwen3.5-4B-QLoRA
ID_1305553577433058;0.4915;0.3545;0.8000;0.5000;0.3000;0.0769;0.0962;0.1154;0.0843;0.2299;0.7010;0.0932;0.2682;0.6868;5;6;Qwen3.5-4B-QLoRA
ID_1351748125964309;0.3392;0.2808;0.6000;0.3000;0.2000;0.1200;0.1200;0.1600;0.0967;0.1495;0.2383;0.1100;0.1682;0.1992;3;4;Qwen3.5-4B-QLoRA
ID_1364246301366731;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0864;0.1807;0.0000;0.0864;0.1810;0;0;Qwen3.5-4B-QLoRA
ID_1387531666012807;0.2935;0.2942;0.2000;0.2000;0.2500;0.0345;0.0690;0.1724;0.0443;0.0079;0.6120;0.0700;0.1969;0.6825;2;5;Qwen3.5-4B-QLoRA
ID_1511271976880714;0.0830;0.1650;0.0000;0.1000;0.1500;0.0000;0.0278;0.0833;0.0035;0.3250;0.5819;0.0155;0.3667;0.6794;2;4;Qwen3.5-4B-QLoRA
ID_1602277501575415;0.2092;0.1493;0.4000;0.3000;0.1500;0.0667;0.1000;0.1000;0.0458;0.0494;0.5558;0.0458;0.0494;0.4580;3;3;Qwen3.5-4B-QLoRA
ID_1612969183171944;0.1766;0.1935;0.0000;0.2000;0.1500;0.0000;0.1176;0.1765;0.0231;0.0755;0.5185;0.0335;0.0981;0.6110;4;5;Qwen3.5-4B-QLoRA
ID_1661480072159875;0.4784;0.3088;0.6000;0.4000;0.2000;0.1000;0.1333;0.1333;0.0922;0.4524;0.1843;0.0922;0.7143;0.2070;4;4;Qwen3.5-4B-QLoRA
ID_1686212165863890;0.0740;0.1012;0.2000;0.2000;0.1500;0.0312;0.0625;0.0938;0.0132;0.0662;0.6194;0.0217;0.0938;0.6046;3;4;Qwen3.5-4B-QLoRA
ID_1708237858198821;0.0960;0.1177;0.4000;0.2000;0.1500;0.0714;0.0714;0.1071;0.0321;0.2374;0.5093;0.0419;0.2374;0.4256;2;3;Qwen3.5-4B-QLoRA
ID_1717412318563908;0.4069;0.3270;0.8000;0.6000;0.3000;0.1176;0.1765;0.1765;0.1541;0.2749;0.6686;0.1541;0.3112;0.6513;6;6;Qwen3.5-4B-QLoRA
ID_1741102469161036;0.1992;0.2694;0.2000;0.2000;0.2000;0.1000;0.2000;0.4000;0.0536;0.0968;0.5845;0.1002;0.1935;0.6701;2;4;Qwen3.5-4B-QLoRA
ID_1827829018668226;0.4920;0.4649;0.4000;0.4000;0.4500;0.0667;0.1333;0.3000;0.0925;0.3139;0.5548;0.1605;0.4672;0.5831;4;9;Qwen3.5-4B-QLoRA
ID_1836274062343953;0.6489;0.6162;1.0000;0.5000;0.5500;0.1852;0.1852;0.4074;0.1852;0.8846;0.5248;0.3124;0.8846;0.5786;5;11;Qwen3.5-4B-QLoRA
ID_1885766127325722;0.0533;0.0417;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.2440;0.5627;0.0000;0.2440;0.5079;2;2;Qwen3.5-4B-QLoRA
ID_1966638146185479;0.8259;0.5536;0.8000;0.9000;0.4500;0.1379;0.3103;0.3103;0.2812;0.5070;0.4940;0.2812;0.5070;0.4225;9;9;Qwen3.5-4B-QLoRA
ID_1994317879078816;0.0683;0.0609;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0819;0.4981;0.0000;0.0948;0.5666;2;3;Qwen3.5-4B-QLoRA
ID_2002515486942024;0.4537;0.3615;0.6000;0.3000;0.2500;0.0769;0.0769;0.1282;0.0705;0.1357;0.6041;0.0842;0.2326;0.5967;3;5;Qwen3.5-4B-QLoRA
ID_2044247985726091;0.1046;0.1519;0.0000;0.1000;0.1000;0.0000;0.1000;0.2000;0.0167;0.1375;0.6120;0.0278;0.1437;0.5064;2;3;Qwen3.5-4B-QLoRA
ID_2086707959173246;0.1538;0.1179;0.4000;0.2000;0.1000;0.0714;0.0714;0.0714;0.0714;0.0280;0.0483;0.0714;0.0280;0.0483;2;2;Qwen3.5-4B-QLoRA
ID_2129963760543898;0.2201;0.2526;0.2000;0.1000;0.2000;0.0400;0.0400;0.1600;0.0400;0.2400;0.6294;0.0624;0.5846;0.6418;1;4;Qwen3.5-4B-QLoRA
ID_2220699289355930;0.1521;0.1465;0.2000;0.2000;0.1500;0.0417;0.0833;0.1250;0.0500;0.3929;0.6499;0.0574;0.4330;0.6814;2;4;Qwen3.5-4B-QLoRA
ID_2324159515825927;0.0000;0.1052;0.0000;0.0000;0.1500;0.0000;0.0000;0.0750;0.0000;0.1011;0.6361;0.0093;0.1551;0.6022;0;3;Qwen3.5-4B-QLoRA
ID_2364016372924935;0.2083;0.1708;0.0000;0.3000;0.2000;0.0000;0.0811;0.1081;0.0186;0.0837;0.7653;0.0263;0.1379;0.7629;3;4;Qwen3.5-4B-QLoRA
ID_2426330204919814;0.6644;0.4288;0.8000;0.6000;0.3000;0.1026;0.1538;0.1538;0.1344;0.3922;0.1388;0.1344;0.3922;0.1659;7;7;Qwen3.5-4B-QLoRA
ID_2538824540800669;0.4129;0.4070;0.2000;0.5000;0.3500;0.0526;0.2632;0.3684;0.1088;0.4706;0.4057;0.1569;0.4902;0.3583;5;8;Qwen3.5-4B-QLoRA
ID_2543067198319684;0.2686;0.1837;0.4000;0.3000;0.1500;0.0909;0.1364;0.1364;0.0528;0.2668;0.5409;0.0528;0.2668;0.5409;3;3;Qwen3.5-4B-QLoRA
ID_2627414712422817;0.0284;0.0207;0.0000;0.1000;0.0500;0.0000;0.0357;0.0357;0.0040;0.0933;0.2178;0.0040;0.0933;0.2178;1;1;Qwen3.5-4B-QLoRA
ID_2653769170795641;0.1799;0.1345;0.4000;0.2000;0.1000;0.0769;0.0769;0.0769;0.0250;0.1793;0.5637;0.0250;0.1793;0.5637;2;2;Qwen3.5-4B-QLoRA
ID_2662364620923506;0.4479;0.3573;0.4000;0.4000;0.2000;0.1176;0.2353;0.2353;0.1338;0.6383;0.4850;0.1338;0.6383;0.5256;4;4;Qwen3.5-4B-QLoRA
ID_2691497637313274;0.1420;0.1802;0.4000;0.2000;0.2500;0.0408;0.0408;0.1020;0.0286;0.0868;0.6505;0.0434;0.1157;0.6366;3;7;Qwen3.5-4B-QLoRA
ID_2714004273523549;0.6325;0.6269;0.8000;0.5000;0.5500;0.0816;0.1020;0.2245;0.0946;0.1500;0.6174;0.1675;0.2433;0.6600;5;11;Qwen3.5-4B-QLoRA
ID_2864595160355410;0.6088;0.4491;0.6000;0.5000;0.2500;0.1579;0.2632;0.2632;0.2076;0.2625;0.1736;0.2076;0.2625;0.1736;6;6;Qwen3.5-4B-QLoRA
ID_2929963416385218;0.1993;0.1286;0.4000;0.3000;0.1500;0.0541;0.0811;0.0811;0.0417;0.1064;0.6294;0.0417;0.2021;0.5993;3;3;Qwen3.5-4B-QLoRA
ID_2961250776014138;0.2684;0.3041;0.2000;0.2000;0.1500;0.0769;0.1538;0.2308;0.0940;0.3533;0.4608;0.1105;0.4837;0.5473;2;3;Qwen3.5-4B-QLoRA
ID_3059520185406581;0.2618;0.2565;0.2000;0.3000;0.2500;0.0323;0.0968;0.1613;0.0353;0.3636;0.4601;0.0605;0.3766;0.3912;3;5;Qwen3.5-4B-QLoRA
ID_3091742095568302;0.3380;0.3325;0.4000;0.4000;0.4000;0.0625;0.1250;0.2500;0.0603;0.0793;0.6255;0.1124;0.0862;0.6497;5;9;Qwen3.5-4B-QLoRA
ID_3107924103069456;0.6639;0.4575;1.0000;0.6000;0.4000;0.1111;0.1333;0.1778;0.1244;0.1402;0.7233;0.1437;0.1630;0.6945;6;8;Qwen3.5-4B-QLoRA
ID_3256932358053453;0.1532;0.1331;0.2000;0.1000;0.0500;0.0833;0.0833;0.0833;0.0833;0.0568;0.4895;0.0833;0.0568;0.4743;3;3;Qwen3.5-4B-QLoRA
ID_3258168964977007;0.3811;0.4667;0.4000;0.3000;0.3500;0.1176;0.1765;0.4118;0.1078;0.2105;0.8004;0.1843;0.3684;0.7234;3;7;Qwen3.5-4B-QLoRA
ID_3314639624288740;0.1209;0.1602;0.2000;0.3000;0.2500;0.0476;0.1429;0.2381;0.0500;0.0816;0.5259;0.0778;0.0967;0.5973;3;5;Qwen3.5-4B-QLoRA
ID_3341755886753117;0.3619;0.3883;0.4000;0.3000;0.3000;0.0952;0.1429;0.2857;0.0937;0.2857;0.2357;0.1380;0.2857;0.2515;5;8;Qwen3.5-4B-QLoRA
ID_3387018530825694;0.1579;0.1231;0.2000;0.2000;0.1000;0.0526;0.1053;0.1053;0.0632;0.2474;0.2690;0.0632;0.2474;0.2690;2;2;Qwen3.5-4B-QLoRA
