Autor;nDCG@10;nDCG@20;Precision@5;Precision@10;Precision@20;Recall@5;Recall@10;Recall@20;MAP@10;Coverage@10;Diversity@10;MAP@20;Coverage@20;Diversity@20;Match_Valido@10;Match_Valido@20;Modelo
ID_5717546460597615;0.1389;0.0896;0.2000;0.1000;0.0500;0.0238;0.0238;0.0238;0.0119;0.0184;0.2207;0.0119;0.0184;0.2133;1;1;Qwen3-1.7B-QLoRA
ID_5832250655889116;0.2498;0.1783;0.2000;0.2000;0.1000;0.0333;0.0667;0.0667;0.0417;0.1644;0.6280;0.0417;0.1644;0.5545;2;2;Qwen3-1.7B-QLoRA
ID_5832558504922244;0.1069;0.0690;0.2000;0.2000;0.1000;0.0250;0.0500;0.0500;0.0118;0.3826;0.2600;0.0118;0.3826;0.3297;2;2;Qwen3-1.7B-QLoRA
ID_5871402136758674;0.1645;0.1286;0.2000;0.1000;0.0500;0.0435;0.0435;0.0435;0.0217;0.3818;0.1969;0.0217;0.3818;0.1745;1;1;Qwen3-1.7B-QLoRA
ID_5898801580033554;0.1100;0.0710;0.2000;0.1000;0.0500;0.0250;0.0250;0.0250;0.0083;0.1336;0.5060;0.0083;0.1336;0.4665;1;1;Qwen3-1.7B-QLoRA
ID_5936682335701497;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0114;0.0627;0.0000;0.0114;0.0627;0;0;Qwen3-1.7B-QLoRA
ID_5957855817378897;0.2917;0.2633;0.4000;0.4000;0.3000;0.0667;0.1333;0.2000;0.0689;0.1120;0.4832;0.0946;0.1494;0.6271;4;6;Qwen3-1.7B-QLoRA
ID_6029111646602279;0.2048;0.1492;0.4000;0.2000;0.1500;0.0741;0.0741;0.1111;0.0309;0.1465;0.4069;0.0410;0.1465;0.3869;2;3;Qwen3-1.7B-QLoRA
ID_6046165866539973;0.1702;0.1330;0.2000;0.1000;0.0500;0.0625;0.0625;0.0625;0.0625;0.0207;0.1286;0.0625;0.0207;0.1286;1;1;Qwen3-1.7B-QLoRA
ID_6072951820735063;0.2221;0.1755;0.4000;0.3000;0.1500;0.0690;0.1034;0.1034;0.0793;0.3261;0.3978;0.0793;0.3261;0.4406;4;4;Qwen3-1.7B-QLoRA
ID_6171517695707255;0.0854;0.0782;0.2000;0.1000;0.0500;0.1000;0.1000;0.1000;0.0500;0.0230;0.2710;0.0500;0.0230;0.2710;1;1;Qwen3-1.7B-QLoRA
ID_6175285839739641;0.2796;0.2041;0.4000;0.2000;0.1000;0.0870;0.0870;0.0870;0.0870;0.1735;0.0901;0.0870;0.1735;0.0901;2;2;Qwen3-1.7B-QLoRA
ID_6201224121456969;0.1389;0.0896;0.2000;0.1000;0.0500;0.0222;0.0222;0.0222;0.0111;0.5246;0.4438;0.0111;0.5296;0.4517;1;1;Qwen3-1.7B-QLoRA
ID_6217509029802638;0.0509;0.0411;0.2000;0.1000;0.0500;0.0526;0.0526;0.0526;0.0175;0.1136;0.1288;0.0175;0.1136;0.1358;1;1;Qwen3-1.7B-QLoRA
ID_6284168579617066;0.1389;0.0896;0.2000;0.1000;0.0500;0.0435;0.0435;0.0435;0.0217;0.2063;0.3540;0.0217;0.2063;0.3648;1;1;Qwen3-1.7B-QLoRA
ID_6286838179330044;0.5691;0.4606;0.8000;0.5000;0.2500;0.1481;0.1852;0.1852;0.1593;0.1901;0.2081;0.1593;0.1901;0.1812;5;5;Qwen3-1.7B-QLoRA
ID_6306096928606380;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0635;0.6327;0.0000;0.0635;0.6327;0;0;Qwen3-1.7B-QLoRA
ID_6309609498284949;0.1477;0.1177;0.2000;0.3000;0.1500;0.0400;0.1200;0.1200;0.0505;0.1728;0.2414;0.0505;0.1937;0.2223;4;4;Qwen3-1.7B-QLoRA
ID_6372649810646310;0.1313;0.1719;0.4000;0.2000;0.2000;0.0513;0.0513;0.1026;0.0167;0.1044;0.4172;0.0299;0.1481;0.5409;2;4;Qwen3-1.7B-QLoRA
ID_6377288674588197;0.3261;0.2144;0.6000;0.7000;0.3500;0.0517;0.1207;0.1207;0.0721;0.1987;0.5548;0.0721;0.1987;0.5043;7;7;Qwen3-1.7B-QLoRA
ID_6473783273255196;0.0472;0.0362;0.2000;0.1000;0.0500;0.0312;0.0312;0.0312;0.0104;0.4821;0.1715;0.0104;0.4821;0.1715;1;1;Qwen3-1.7B-QLoRA
ID_6499108085922209;0.0618;0.0496;0.2000;0.1000;0.0500;0.0500;0.0500;0.0500;0.0250;0.0619;0.3217;0.0250;0.0619;0.3217;1;1;Qwen3-1.7B-QLoRA
ID_6532338737692493;0.5624;0.3846;0.6000;0.6000;0.3000;0.1500;0.3000;0.3000;0.1904;0.0828;0.3705;0.1904;0.0828;0.3111;8;8;Qwen3-1.7B-QLoRA
ID_6535298436643783;0.0000;0.1102;0.0000;0.0000;0.1000;0.0000;0.0000;0.0769;0.0000;0.0731;0.5567;0.0076;0.1154;0.5668;0;3;Qwen3-1.7B-QLoRA
ID_6555511233950866;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0897;0.0859;0.0000;0.0985;0.0913;0;0;Qwen3-1.7B-QLoRA
ID_6723353746838236;0.1736;0.1372;0.4000;0.2000;0.1000;0.0909;0.0909;0.0909;0.0909;0.0697;0.7481;0.0909;0.0697;0.6811;2;2;Qwen3-1.7B-QLoRA
ID_6751513272539561;0.2201;0.1420;0.2000;0.1000;0.0500;0.0370;0.0370;0.0370;0.0370;0.4122;0.5504;0.0370;0.4122;0.5504;1;1;Qwen3-1.7B-QLoRA
ID_6785547194105600;0.0000;0.1172;0.0000;0.0000;0.2000;0.0000;0.0000;0.1818;0.0000;0.2679;0.4555;0.0280;0.6603;0.5473;0;4;Qwen3-1.7B-QLoRA
ID_6799776599317117;0.2673;0.2103;0.4000;0.2000;0.1000;0.1000;0.1000;0.1000;0.0833;0.0897;0.2079;0.0833;0.0897;0.2079;2;2;Qwen3-1.7B-QLoRA
ID_6911356765220023;0.4221;0.2775;0.6000;0.4000;0.2000;0.0882;0.1176;0.1176;0.0760;0.0294;0.4278;0.0760;0.0294;0.3711;4;4;Qwen3-1.7B-QLoRA
ID_7014991384513854;0.3922;0.3006;0.6000;0.4000;0.2000;0.1071;0.1429;0.1429;0.0776;0.2054;0.1990;0.0776;0.2054;0.1990;4;4;Qwen3-1.7B-QLoRA
ID_7026313596468626;0.0710;0.1106;0.0000;0.1000;0.1000;0.0000;0.0588;0.1176;0.0084;0.2368;0.2585;0.0168;0.2632;0.2890;2;3;Qwen3-1.7B-QLoRA
ID_7034773971317045;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0717;0.5284;0.0000;0.0728;0.5371;0;0;Qwen3-1.7B-QLoRA
ID_7053039409324203;0.1199;0.1864;0.2000;0.2000;0.2000;0.0455;0.0909;0.1818;0.0182;0.8333;0.5469;0.0417;0.8750;0.5144;3;6;Qwen3-1.7B-QLoRA
ID_7057449448661416;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0556;0.1781;0.0000;0.0556;0.1781;0;0;Qwen3-1.7B-QLoRA
ID_7088639503480810;0.6919;0.4465;0.8000;0.7000;0.3500;0.1250;0.2188;0.2188;0.1926;0.3214;0.3548;0.1926;0.3214;0.3177;7;7;Qwen3-1.7B-QLoRA
ID_7090419604571199;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0694;0.0000;0.0000;0.0694;0.0000;0;0;Qwen3-1.7B-QLoRA
ID_7216933992248038;0.6524;0.4606;0.6000;0.6000;0.3500;0.0750;0.1500;0.1750;0.1106;0.1859;0.6195;0.1265;0.1975;0.6184;6;7;Qwen3-1.7B-QLoRA
ID_7233767393471644;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0144;0.3205;0.0000;0.0144;0.3092;0;0;Qwen3-1.7B-QLoRA
ID_7249500407405478;0.1673;0.1144;0.2000;0.2000;0.1000;0.0294;0.0588;0.0588;0.0212;0.3125;0.3819;0.0212;0.3125;0.3819;2;2;Qwen3-1.7B-QLoRA
ID_7254844415865063;0.2201;0.1817;0.2000;0.1000;0.1000;0.0312;0.0312;0.0625;0.0312;0.1094;0.5400;0.0369;0.1295;0.5134;1;2;Qwen3-1.7B-QLoRA
