θ_matching,θ_coverage,threshold_relevancia_P_R_MAP,nDCG@10,nDCG@20,P@5,P@10,P@20,R@5,R@10,R@20,MAP@10,MAP@20,C@10,C@20,D@10,D@20,Match_Valido@10,Match_Valido@20,N
0.6,0.75,2,0.5020876219907486,0.4748509593145943,0.5930118798043327,0.5052410901467506,0.4216981132075472,0.12154576715544524,0.20548824530677154,0.33676924559410626,0.15435025039000744,0.21929942492025986,0.3857789501552605,0.4646130914332745,0.6416913281159794,0.6672096094368608,5.77288609364081,9.866526904262754,1431
0.65,0.75,2,0.4661707050887811,0.43270866960554966,0.5541579315164221,0.46177498252969945,0.3743186582809224,0.1135858982956165,0.1881682634283332,0.3000127556531032,0.13745716055533813,0.18842406720665128,0.3857789501552605,0.4646130914332745,0.6416913281159794,0.6672096094368608,5.216631726065688,8.6785464709993,1431
0.7,0.75,2,0.4234099259746784,0.38708514482954026,0.5031446540880503,0.41278825995807134,0.32742837176799444,0.10332991103204667,0.1683372438755991,0.26269095043926677,0.11900715173248766,0.1580400069937959,0.3857789501552605,0.4646130914332745,0.6416913281159794,0.6672096094368608,4.6408106219426974,7.53738644304682,1431
0.75,0.75,2,0.3803588862622467,0.3427644107743459,0.45310971348707196,0.36415094339622645,0.2828092243186583,0.0933910378366874,0.14897959659761292,0.22758106816604248,0.1016437892612202,0.13075382076943476,0.3857789501552605,0.4646130914332745,0.6416913281159794,0.6672096094368608,4.061495457721873,6.447239692522712,1431
0.8,0.75,2,0.3336369660266072,0.29555979256385295,0.3998602375960867,0.3124388539482879,0.2377707896575821,0.08232971277341096,0.12814577973624136,0.19132205662728852,0.08446394822487298,0.10520313507785851,0.3857789501552605,0.4646130914332745,0.6416913281159794,0.6672096094368608,3.456324248777079,5.363382250174703,1431
