Autor;nDCG@10;nDCG@20;Precision@5;Precision@10;Precision@20;Recall@5;Recall@10;Recall@20;MAP@10;Coverage@10;Diversity@10;MAP@20;Coverage@20;Diversity@20;Match_Valido@10;Match_Valido@20;Modelo
ID_6723353746838236;0.0672;0.1004;0.2000;0.1000;0.1500;0.0455;0.0455;0.1364;0.0227;0.1522;0.1611;0.0364;0.1608;0.4228;1;4;Qwen3-1.7B-QLoRA
ID_6751513272539561;0.2201;0.1585;0.2000;0.1000;0.1000;0.0370;0.0370;0.0741;0.0370;0.2265;0.6692;0.0432;0.3893;0.6798;1;2;Qwen3-1.7B-QLoRA
ID_6785547194105600;0.1187;0.2267;0.2000;0.2000;0.3500;0.0455;0.0909;0.3182;0.0242;0.6699;0.6026;0.0940;0.6699;0.5248;2;7;Qwen3-1.7B-QLoRA
ID_6799776599317117;0.4745;0.4413;0.4000;0.5000;0.4000;0.1000;0.2500;0.4000;0.1478;0.2564;0.5893;0.2114;0.3718;0.6748;5;10;Qwen3-1.7B-QLoRA
ID_6911356765220023;0.3059;0.2801;0.4000;0.4000;0.3000;0.0588;0.1176;0.1765;0.0571;0.2206;0.6221;0.0793;0.3015;0.6669;4;7;Qwen3-1.7B-QLoRA
ID_7014991384513854;0.5072;0.4673;0.8000;0.5000;0.4000;0.1429;0.1786;0.2857;0.1268;0.2232;0.6139;0.1793;0.3304;0.6673;5;8;Qwen3-1.7B-QLoRA
ID_7026313596468626;0.2023;0.3225;0.2000;0.3000;0.3500;0.0588;0.1765;0.4118;0.0471;0.3158;0.6890;0.1388;0.4737;0.6699;5;10;Qwen3-1.7B-QLoRA
ID_7034773971317045;0.1478;0.1623;0.0000;0.2000;0.2000;0.0000;0.0833;0.1667;0.0174;0.0728;0.7097;0.0340;0.1206;0.7279;2;4;Qwen3-1.7B-QLoRA
ID_7053039409324203;0.0198;0.0684;0.0000;0.0000;0.0500;0.0000;0.0000;0.0455;0.0000;0.8125;0.5227;0.0041;0.9167;0.5794;1;3;Qwen3-1.7B-QLoRA
ID_7057449448661416;0.3743;0.4169;0.4000;0.4000;0.2500;0.2000;0.4000;0.5000;0.1721;0.6420;0.6576;0.2055;0.6790;0.6587;4;5;Qwen3-1.7B-QLoRA
ID_7088639503480810;0.7614;0.5694;1.0000;0.8000;0.5000;0.1562;0.2500;0.3125;0.2398;0.3571;0.4342;0.2915;0.3750;0.6191;8;10;Qwen3-1.7B-QLoRA
ID_7090419604571199;0.1567;0.1695;0.2000;0.1000;0.1000;0.0769;0.0769;0.1538;0.0385;0.1420;0.7164;0.0503;0.3360;0.6674;1;3;Qwen3-1.7B-QLoRA
